Experiment Id	Sample Set Id	Sample Id	Migrated Data$EPIMS Hyb ID	Migrated Data$Chip Barcode	ASQuery_input	ASQuery_input_value	AScel_file_path	AScel_file_name
15210	208204	208186	NA	NA	sample_id	208186	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15210/208186.CEL	208186.CEL
15210	208204	208187	NA	NA	sample_id	208187	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15210/208187.CEL	208187.CEL
15210	208204	208188	NA	NA	sample_id	208188	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15210/208188.CEL	208188.CEL
15210	208205	208189	NA	NA	sample_id	208189	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15210/208189.CEL	208189.CEL
15210	208205	208190	NA	NA	sample_id	208190	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15210/208190.CEL	208190.CEL
15210	208205	208191	NA	NA	sample_id	208191	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15210/208191.CEL	208191.CEL
15210	208206	208192	NA	NA	sample_id	208192	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15210/208192.CEL	208192.CEL
15210	208206	208193	NA	NA	sample_id	208193	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15210/208193.CEL	208193.CEL
15210	208206	208194	NA	NA	sample_id	208194	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15210/208194.CEL	208194.CEL
15208	206166	206119	NA	NA	sample_id	206119	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15208/206119.CEL	206119.CEL
15208	206166	206120	NA	NA	sample_id	206120	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15208/206120.CEL	206120.CEL
15208	206166	206121	NA	NA	sample_id	206121	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15208/206121.CEL	206121.CEL
15208	206169	206128	NA	NA	sample_id	206128	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15208/206128.CEL	206128.CEL
15208	206169	206129	NA	NA	sample_id	206129	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15208/206129.CEL	206129.CEL
15208	206169	206130	NA	NA	sample_id	206130	//uswa-pfsx-cf02b/OmicsRes_AWA//CBSSData/15208/206130.CEL	206130.CEL
14872	176708	176685	NA	85599	chip_barcode	85599	//uswa-pfsx-cf02b/OmicsRes_AWA//ResolverMigrated/CBSS/Intensity/Rat230_2/85599_1_1.CEL	85599_1_1.CEL
14872	176708	176686	NA	85600	chip_barcode	85600	//uswa-pfsx-cf02b/OmicsRes_AWA//ResolverMigrated/CBSS/Intensity/Rat230_2/85600_1_1.CEL	85600_1_1.CEL
14872	176708	176687	NA	85601	chip_barcode	85601	//uswa-pfsx-cf02b/OmicsRes_AWA//ResolverMigrated/CBSS/Intensity/Rat230_2/85601_1_1.CEL	85601_1_1.CEL
14872	176709	176688	NA	85605	chip_barcode	85605	//uswa-pfsx-cf02b/OmicsRes_AWA//ResolverMigrated/CBSS/Intensity/Rat230_2/85605_1_1.CEL	85605_1_1.CEL
14872	176709	176689	NA	85606	chip_barcode	85606	//uswa-pfsx-cf02b/OmicsRes_AWA//ResolverMigrated/CBSS/Intensity/Rat230_2/85606_1_1.CEL	85606_1_1.CEL
14872	176709	176690	NA	85607	chip_barcode	85607	//uswa-pfsx-cf02b/OmicsRes_AWA//ResolverMigrated/CBSS/Intensity/Rat230_2/85607_1_1.CEL	85607_1_1.CEL
14872	176710	176691	NA	85611	chip_barcode	85611	//uswa-pfsx-cf02b/OmicsRes_AWA//ResolverMigrated/CBSS/Intensity/Rat230_2/85611_1_1.CEL	85611_1_1.CEL
14872	176710	176692	NA	85612	chip_barcode	85612	//uswa-pfsx-cf02b/OmicsRes_AWA//ResolverMigrated/CBSS/Intensity/Rat230_2/85612_1_1.CEL	85612_1_1.CEL
14872	176710	176693	NA	85613	chip_barcode	85613	//uswa-pfsx-cf02b/OmicsRes_AWA//ResolverMigrated/CBSS/Intensity/Rat230_2/85613_1_1.CEL	85613_1_1.CEL
14872	176711	176694	NA	85617	chip_barcode	85617	//uswa-pfsx-cf02b/OmicsRes_AWA//ResolverMigrated/CBSS/Intensity/Rat230_2/85617_1_1.CEL	85617_1_1.CEL
